Event	ID	Name			Wwise Object Path	Notes
	282373675	Charge_Spyder			\Default Work Unit\Enemy Actions\Spyder Actions\Charge_Spyder	
	708461478	Hit_Pistol_Player			\Default Work Unit\Player Actions\Hit_Pistol_Player	
	942229886	Dodge_Player			\Default Work Unit\Player Actions\Dodge_Player	
	1198969758	Swing_Knuckles_Player			\Default Work Unit\Player Actions\Swing_Knuckles_Player	
	1237341883	Flash_Spyder			\Default Work Unit\Enemy Actions\Spyder Actions\Flash_Spyder	
	1274459313	Notice_Bird			\Default Work Unit\Enemy Actions\Bird Actions\Notice_Bird	
	1294487939	Attack_Spyder			\Default Work Unit\Enemy Actions\Spyder Actions\Attack_Spyder	
	1367775454	Fire_Shotgun_Player			\Default Work Unit\Player Actions\Fire_Shotgun_Player	
	1479467640	Death_Enemy			\Default Work Unit\Enemy Actions\Death_Enemy	
	1582328950	Roar_Manifestation			\Default Work Unit\Enemy Actions\Manifestation Actions\Roar_Manifestation	
	1807675346	Fire_Tommy_Player			\Default Work Unit\Player Actions\Fire_Tommy_Player	
	1823915905	Charge_Beetle			\Default Work Unit\Enemy Actions\Beetle Actions\Charge_Beetle	
	1828056235	Fire_Pistol_Player			\Default Work Unit\Player Actions\Fire_Pistol_Player	
	1980235893	Notice_Pillbug			\Default Work Unit\Enemy Actions\Pillbug Actions\Notice_Pillbug	
	2010675244	Weapon_Pickup_Player			\Default Work Unit\Player Actions\Weapon_Pickup_Player	
	2020382007	Hit_Knuckles_Player			\Default Work Unit\Player Actions\Hit_Knuckles_Player	
	2212742940	Crash_Beetle			\Default Work Unit\Enemy Actions\Beetle Actions\Crash_Beetle	
	2348673105	Attack_Bird			\Default Work Unit\Enemy Actions\Bird Actions\Attack_Bird	
	2396170652	Shoot_Bird			\Default Work Unit\Enemy Actions\Bird Actions\Shoot_Bird	
	3178172643	Summon_Manifestation			\Default Work Unit\Enemy Actions\Manifestation Actions\Summon_Manifestation	
	3227525858	Die_Manifestation			\Default Work Unit\Enemy Actions\Manifestation Actions\Die_Manifestation	
	3252579989	Attack_Pillbug			\Default Work Unit\Enemy Actions\Pillbug Actions\Attack_Pillbug	
	3277391769	Notice_Beetle			\Default Work Unit\Enemy Actions\Beetle Actions\Notice_Beetle	
	3344761002	Ammo_Pickup_Player			\Default Work Unit\Player Actions\Ammo_Pickup_Player	
	3401439988	Phone_Ring			\Default Work Unit\Environmental Actions\Phone_Ring	
	3790708028	Door_Unlock			\Default Work Unit\Environmental Actions\Door_Unlock	
	4149800146	Empty_Pistol_Player			\Default Work Unit\Player Actions\Empty_Pistol_Player	
	4275276242	Attack_Manifestation			\Default Work Unit\Enemy Actions\Manifestation Actions\Attack_Manifestation	

Game Parameter	ID	Name			Wwise Object Path	Notes
	1087353892	EffectVolume			\Default Work Unit\EffectVolume	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	15880499	Spyder_Flash	A:\Downloads\Audio\INTD450\The Fixer Main\.cache\Mac\SFX\Flash_Camera_B6BBCEE5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy Sounds\Spyder\Spyder_Flash		63416
	54709647	Notice_Enemy	A:\Downloads\Audio\INTD450\The Fixer Main\.cache\Mac\SFX\Notice_Enemy_CF802C2F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy Sounds\Notice_Enemy		47852
	65303401	Fire_Shotgun_Player	A:\Downloads\Audio\INTD450\The Fixer Main\.cache\Mac\SFX\Shoot_Shotgun_Player_F70B42BA.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player Sounds\Fire_Shotgun_Player		75120
	68113316	Ammo_Pickup_Player-004	A:\Downloads\Audio\INTD450\The Fixer Main\.cache\Mac\SFX\Ammo_Pickup\Ammo_Pickup_Player-004_3FDF283B.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player Sounds\Ammo_Pickup_Player\Ammo_Pickup_Player-004		40732
	90599123	Fire_Pistol_Player	A:\Downloads\Audio\INTD450\The Fixer Main\.cache\Mac\SFX\Shoot_Pistol_Player_08F7D1DE.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player Sounds\Fire_Pistol_Player		51836
	142273814	shoot_bird	A:\Downloads\Audio\INTD450\The Fixer Main\.cache\Mac\SFX\Shoot_Bird_6F6797E0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy Sounds\Bird\shoot_bird		35404
	174886453	Die_Manny	A:\Downloads\Audio\INTD450\The Fixer Main\.cache\Mac\SFX\manny death_091F8EB3.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy Sounds\Manny\Die_Manny		403360
	215651341	Punch_Knuckles_Player	A:\Downloads\Audio\INTD450\The Fixer Main\.cache\Mac\SFX\Swing_Knuckles_Player_65AC56E0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player Sounds\Punch_Knuckles_Player		40552
	277708595	Fire_Tommy_Player	A:\Downloads\Audio\INTD450\The Fixer Main\.cache\Mac\SFX\Shoot_Tommy_Player_211D2E73.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player Sounds\Fire_Tommy_Player		20068
	291940770	Pump_Shotgun_Player	A:\Downloads\Audio\INTD450\The Fixer Main\.cache\Mac\SFX\Shoot_Shotgun_Player_4698CD56.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player Sounds\Pump_Shotgun_Player		81712
	313999180	Ammo_Pickup_Player-008	A:\Downloads\Audio\INTD450\The Fixer Main\.cache\Mac\SFX\Ammo_Pickup\Ammo_Pickup_Player-008_A9EDB648.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player Sounds\Ammo_Pickup_Player\Ammo_Pickup_Player-008		44056
